127.0.0.1 - - [13/Oct/2020:23:49:52 -0300] "GET / HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [13/Oct/2020:23:49:52 -0300] "GET /AW2-lab3/catalogoProdutos HTTP/1.1" 404 1101
0:0:0:0:0:0:0:1 - - [13/Oct/2020:23:49:53 -0300] "GET /favicon.ico HTTP/1.1" 404 1087
0:0:0:0:0:0:0:1 - - [13/Oct/2020:23:54:11 -0300] "GET /AW2-lab3/geraTelaLogin HTTP/1.1" 404 1098
0:0:0:0:0:0:0:1 - - [13/Oct/2020:23:55:19 -0300] "GET /estudo3/geraTelaLogin HTTP/1.1" 200 419
0:0:0:0:0:0:0:1 - - [13/Oct/2020:23:57:01 -0300] "GET /estudo3/geraTelaLogin HTTP/1.1" 200 419
0:0:0:0:0:0:0:1 - - [13/Oct/2020:23:57:06 -0300] "GET /estudo3/geraTelaLogin HTTP/1.1" 200 420
0:0:0:0:0:0:0:1 - - [13/Oct/2020:23:57:15 -0300] "GET /estudo3/geraTelaLogin HTTP/1.1" 200 419
0:0:0:0:0:0:0:1 - - [13/Oct/2020:23:57:42 -0300] "POST /estudo3/validaLogin HTTP/1.1" 404 1095
0:0:0:0:0:0:0:1 - - [13/Oct/2020:23:58:20 -0300] "GET /estudo3/geraTelaLogin HTTP/1.1" 200 419
0:0:0:0:0:0:0:1 - - [13/Oct/2020:23:58:21 -0300] "GET /estudo3/geraTelaLogin HTTP/1.1" 200 419
0:0:0:0:0:0:0:1 - - [13/Oct/2020:23:58:26 -0300] "POST /estudo3/validaLogin HTTP/1.1" 404 1095
